Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Preferred_dividend,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-09-10,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.42,9.6,-0.18,False
2015-09-11,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.59,9.42,0.17,True
2015-09-12,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.59,9.59,0.0,False
2015-09-13,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.59,9.59,0.0,False
2015-09-14,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.54,9.59,-0.05,False
2015-09-15,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.55,9.54,0.01,True
2015-09-16,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.76,9.55,0.21,True
2015-09-17,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.8,9.76,0.04,True
2015-09-18,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.97,9.8,0.17,True
2015-09-19,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.97,9.97,0.0,False
2015-09-20,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.97,9.97,0.0,False
2015-09-21,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.89,9.97,-0.08,False
